Scenario,Pedestrian Collisions,Environment Collisions,Timeout
Scene0_0.3_0,0,0,0
Scene0_0.4_0,0,0,0
Scene0_0.5_0,0,0,0
Scene0_0.7_0,0,0,0
Scene0_1.0_0,0,0,0
Scene0_1.5_0,0,0,0
Scene1_0.3_0,0,0,0
Scene1_0.4_0,0,0,0
Scene1_0.5_0,0,0,0
Scene1_0.7_0,0,0,0
Scene1_1.0_0,0,0,0
Scene1_1.5_0,0,0,0
Scene2_0.3_0,0,0,0
Scene2_0.4_0,0,0,0
Scene2_0.5_0,0,0,0
Scene2_0.7_0,0,0,0
Scene2_1.0_0,0,0,0
Scene2_1.5_0,0,0,0
Scene3_0.3_0,0,0,0
Scene3_0.4_0,0,0,0
Scene3_0.5_0,0,0,0
Scene3_0.7_0,0,0,0
Scene3_1.0_0,0,0,0
Scene3_1.5_0,0,0,0
Scene4_0.3_0,0,0,0
Scene4_0.4_0,0,0,0
Scene4_0.5_0,0,0,0
Scene4_0.7_0,0,0,0
Scene4_1.0_0,0,0,0
Scene4_1.5_0,0,0,0
Scene5_0.3_0,0,0,0
Scene5_0.4_0,0,0,0
Scene5_0.5_0,0,0,0
Scene5_0.7_0,0,0,0
Scene5_1.0_0,0,0,0
Scene5_1.5_0,0,0,0
Scene6_0.3_0,0,0,0
Scene6_0.4_0,0,0,0
Scene6_0.5_0,0,0,0
Scene6_0.7_0,0,0,0
Scene6_1.0_0,0,0,0
Scene6_1.5_0,0,0,0
Scene7_0.3_0,0,0,0
Scene7_0.4_0,0,0,0
Scene7_0.5_0,0,0,0
Scene7_0.7_0,0,0,0
Scene7_1.0_0,0,0,0
Scene7_1.5_0,0,0,0
Scene8_0.3_0,0,0,0
Scene8_0.4_0,0,0,0
Scene8_0.5_0,0,0,0
Scene8_0.7_0,0,0,0
Scene8_1.0_0,0,0,0
Scene8_1.5_0,0,0,0
Scene9_0.3_0,1,0,0
Scene9_0.4_0,1,0,0
Scene9_0.5_0,1,0,0
Scene9_0.7_0,1,0,0
Scene9_1.0_0,1,0,0
Scene9_1.5_0,1,0,0
